Customer_ID,Customer_Name,Region_ID
CUST-00205,Customer 205,12
CUST-00206,Customer 206,18
CUST-00207,Customer 207,3
CUST-00208,Customer 208,8
CUST-00209,Customer 209,12
CUST-00210,Customer 210,20
CUST-00211,Customer 211,13
CUST-00212,Customer 212,11
CUST-00213,Customer 213,14
CUST-00214,Customer 214,4
CUST-00215,Customer 215,17
CUST-00216,Customer 216,18
CUST-00217,Customer 217,19
CUST-00218,Customer 218,12
CUST-00219,Customer 219,19
CUST-00220,Customer 220,5
CUST-00221,Customer 221,1
CUST-00222,Customer 222,10
CUST-00223,Customer 223,3
CUST-00224,Customer 224,5
CUST-00225,Customer 225,11
CUST-00226,Customer 226,7
CUST-00227,Customer 227,12
CUST-00228,Customer 228,15
CUST-00229,Customer 229,15
CUST-00230,Customer 230,10
CUST-00231,Customer 231,4
CUST-00232,Customer 232,11
CUST-00233,Customer 233,6
CUST-00234,Customer 234,8
CUST-00235,Customer 235,18
CUST-00236,Customer 236,18
CUST-00237,Customer 237,15
CUST-00238,Customer 238,13
CUST-00239,Customer 239,6
CUST-00240,Customer 240,14
CUST-00241,Customer 241,20
CUST-00242,Customer 242,15
CUST-00243,Customer 243,13
,Customer 244,7
CUST-00245,Customer 245,3
CUST-00246,Customer 246,18
CUST-00247,Customer 247,11
CUST-00248,Customer 248,4
CUST-00249,Customer 249,16
CUST-00250,Customer 250,11
CUST-00251,Customer 251,20
CUST-00252,Customer 252,4
CUST-00253,Customer 253,15
CUST-00254,Customer 254,10
CUST-00255,Customer 255,19
CUST-00256,Customer 256,5
CUST-00257,Customer 257,8
CUST-00258,Customer 258,6
CUST-00259,Customer 259,5
CUST-00260,Customer 260,14
CUST-00261,Customer 261,19
CUST-00262,Customer 262,6
CUST-00263,Customer 263,18
CUST-00264,Customer 264,6
CUST-00265,Customer 265,16
CUST-00266,Customer 266,6
CUST-00267,Customer 267,15
CUST-00268,Customer 268,12
CUST-00269,Customer 269,16
CUST-00270,Customer 270,13
CUST-00271,Customer 271,17
CUST-00272,Customer 272,14
CUST-00273,Customer 273,14
CUST-00274,Customer 274,15
CUST-00275,Customer 275,3
CUST-00276,Customer 276,8
CUST-00277,Customer 277,9
CUST-00278,Customer 278,10
CUST-00279,Customer 279,15
CUST-00280,Customer 280,16
CUST-00281,Customer 281,4
CUST-00282,Customer 282,9
CUST-00283,Customer 283,12
CUST-00284,Customer 284,2
CUST-00285,Customer 285,15
CUST-00286,Customer 286,14
CUST-00287,Customer 287,8
CUST-00288,Customer 288,2
CUST-00289,Customer 289,12
CUST-00290,Customer 290,3
CUST-00291,Customer 291,4
CUST-00292,Customer 292,8
CUST-00293,Customer 293,19
CUST-00294,Customer 294,20
CUST-00295,Customer 295,6
CUST-00296,Customer 296,7
CUST-00297,Customer 297,2
CUST-00298,Customer 298,18
CUST-00299,Customer 299,18
CUST-00300,Customer 300,10
CUST-00301,Customer 301,9
CUST-00302,Customer 302,17
CUST-00303,Customer 303,4
CUST-00304,Customer 304,14
CUST-00305,Customer 305,9
CUST-00306,Customer 306,5
CUST-00307,Customer 307,5
CUST-00308,Customer 308,11
CUST-00309,Customer 309,13
CUST-00310,Customer 310,19
CUST-00311,Customer 311,14
CUST-00312,Customer 312,3
CUST-00313,Customer 313,3
CUST-00314,Customer 314,9
CUST-00315,Customer 315,12
CUST-00316,Customer 316,16
CUST-00317,Customer 317,1
CUST-00318,Customer 318,3
CUST-00319,Customer 319,15
CUST-00320,Customer 320,12
CUST-00321,Customer 321,18
CUST-00322,Customer 322,14
CUST-00323,Customer 323,16
CUST-00324,Customer 324,10
CUST-00325,Customer 325,19
CUST-00326,Customer 326,16
CUST-00327,Customer 327,2
CUST-00328,Customer 328,15
,Customer 329,6
CUST-00330,Customer 330,1
CUST-00331,Customer 331,14
CUST-00332,Customer 332,5
CUST-00333,Customer 333,10
CUST-00334,Customer 334,9
CUST-00335,Customer 335,12
CUST-00336,Customer 336,12
CUST-00337,Customer 337,6
CUST-00338,Customer 338,10
CUST-00339,Customer 339,8
CUST-00340,Customer 340,3
CUST-00341,Customer 341,1
CUST-00342,Customer 342,3
CUST-00343,Customer 343,8
CUST-00344,Customer 344,15
,Customer 345,11
CUST-00346,Customer 346,14
CUST-00347,Customer 347,16
CUST-00348,Customer 348,13
CUST-00349,Customer 349,4
CUST-00350,Customer 350,12
CUST-00351,Customer 351,5
CUST-00352,Customer 352,5
CUST-00353,Customer 353,5
CUST-00354,Customer 354,19
,Customer 355,6
CUST-00356,Customer 356,7
CUST-00357,Customer 357,5
CUST-00358,Customer 358,20
CUST-00359,Customer 359,7
CUST-00360,Customer 360,4
CUST-00361,Customer 361,4
CUST-00362,Customer 362,13
CUST-00363,Customer 363,14
CUST-00364,Customer 364,5
CUST-00365,Customer 365,3
CUST-00366,Customer 366,20
CUST-00367,Customer 367,20
CUST-00368,Customer 368,1
CUST-00369,Customer 369,10
CUST-00370,Customer 370,20
CUST-00371,Customer 371,13
CUST-00372,Customer 372,2
CUST-00373,Customer 373,8
CUST-00374,Customer 374,4
CUST-00375,Customer 375,20
CUST-00376,Customer 376,1
CUST-00377,Customer 377,11
CUST-00378,Customer 378,19
CUST-00379,Customer 379,18
CUST-00380,Customer 380,16
CUST-00381,Customer 381,3
,Customer 382,3
,Customer 383,7
CUST-00384,Customer 384,2
CUST-00385,Customer 385,13
CUST-00386,Customer 386,17
CUST-00387,Customer 387,14
CUST-00388,Customer 388,3
CUST-00389,Customer 389,18
CUST-00390,Customer 390,9
CUST-00391,Customer 391,3
CUST-00392,Customer 392,7
CUST-00393,Customer 393,5
CUST-00394,Customer 394,13
CUST-00395,Customer 395,3
CUST-00396,Customer 396,14
CUST-00397,Customer 397,8
CUST-00398,Customer 398,3
CUST-00399,Customer 399,4
CUST-00400,Customer 400,20
CUST-00401,Customer 401,6
CUST-00402,Customer 402,5
CUST-00403,Customer 403,6
CUST-00404,Customer 404,12
CUST-00405,Customer 405,9
CUST-00406,Customer 406,5
CUST-00407,Customer 407,9
CUST-00408,Customer 408,4
CUST-00409,Customer 409,1
CUST-00410,Customer 410,14
CUST-00411,Customer 411,3
CUST-00412,Customer 412,19
CUST-00413,Customer 413,16
CUST-00414,Customer 414,12
CUST-00415,Customer 415,19
CUST-00416,Customer 416,6
CUST-00417,Customer 417,4
CUST-00418,Customer 418,4
CUST-00419,Customer 419,17
,Customer 420,1
CUST-00421,Customer 421,16
CUST-00422,Customer 422,5
CUST-00423,Customer 423,2
CUST-00424,Customer 424,14
CUST-00425,Customer 425,8
CUST-00426,Customer 426,11
CUST-00427,Customer 427,3
CUST-00428,Customer 428,4
CUST-00429,Customer 429,2
CUST-00430,Customer 430,17
CUST-00431,Customer 431,13
CUST-00432,Customer 432,15
CUST-00433,Customer 433,10
CUST-00434,Customer 434,18
CUST-00435,Customer 435,12
CUST-00436,Customer 436,19
CUST-00437,Customer 437,20
CUST-00438,Customer 438,12
CUST-00439,Customer 439,16
CUST-00440,Customer 440,7
CUST-00441,Customer 441,18
CUST-00442,Customer 442,8
CUST-00443,Customer 443,14
CUST-00444,Customer 444,18
CUST-00445,Customer 445,1
CUST-00446,Customer 446,1
CUST-00447,Customer 447,13
CUST-00448,Customer 448,10
CUST-00449,Customer 449,17
CUST-00450,Customer 450,14
CUST-00451,Customer 451,2
CUST-00452,Customer 452,5
CUST-00453,Customer 453,3
CUST-00454,Customer 454,8
CUST-00455,Customer 455,17
CUST-00456,Customer 456,12
CUST-00457,Customer 457,3
CUST-00458,Customer 458,17
CUST-00459,Customer 459,13
CUST-00460,Customer 460,19
CUST-00461,Customer 461,5
CUST-00462,Customer 462,9
CUST-00463,Customer 463,13
CUST-00464,Customer 464,11
CUST-00465,Customer 465,9
CUST-00466,Customer 466,7
CUST-00467,Customer 467,19
CUST-00468,Customer 468,4
CUST-00469,Customer 469,15
CUST-00470,Customer 470,4
CUST-00471,Customer 471,7
CUST-00472,Customer 472,15
CUST-00473,Customer 473,4
CUST-00474,Customer 474,10
CUST-00475,Customer 475,20
CUST-00476,Customer 476,11
CUST-00477,Customer 477,8
CUST-00478,Customer 478,13
CUST-00479,Customer 479,10
CUST-00480,Customer 480,6
CUST-00481,Customer 481,13
CUST-00482,Customer 482,18
CUST-00483,Customer 483,8
CUST-00484,Customer 484,4
CUST-00485,Customer 485,5
CUST-00486,Customer 486,2
CUST-00487,Customer 487,8
CUST-00488,Customer 488,13
CUST-00489,Customer 489,3
CUST-00490,Customer 490,9
CUST-00491,Customer 491,3
CUST-00492,Customer 492,3
CUST-00493,Customer 493,15
CUST-00494,Customer 494,3
CUST-00495,Customer 495,11
CUST-00496,Customer 496,15
CUST-00497,Customer 497,19
CUST-00498,Customer 498,13
CUST-00499,Customer 499,13
CUST-00500,Customer 500,6
CUST-00501,Customer 501,6
CUST-00502,Customer 502,15
CUST-00503,Customer 503,2
CUST-00504,Customer 504,20
CUST-00505,Customer 505,10
CUST-00506,Customer 506,18
CUST-00507,Customer 507,3
CUST-00508,Customer 508,5
CUST-00509,Customer 509,17
CUST-00510,Customer 510,18
CUST-00511,Customer 511,13
CUST-00512,Customer 512,12
CUST-00513,Customer 513,16
CUST-00514,Customer 514,19
CUST-00515,Customer 515,13
CUST-00516,Customer 516,1
CUST-00517,Customer 517,8
CUST-00518,Customer 518,9
CUST-00519,Customer 519,16
CUST-00520,Customer 520,19
CUST-00521,Customer 521,6
CUST-00522,Customer 522,8
CUST-00523,Customer 523,2
CUST-00524,Customer 524,8
CUST-00525,Customer 525,13
CUST-00526,Customer 526,6
CUST-00527,Customer 527,19
CUST-00528,Customer 528,12
CUST-00529,Customer 529,1
CUST-00530,Customer 530,12
CUST-00531,Customer 531,19
CUST-00532,Customer 532,7
CUST-00533,Customer 533,16
CUST-00534,Customer 534,6
CUST-00535,Customer 535,3
CUST-00536,Customer 536,20
CUST-00537,Customer 537,17
CUST-00538,Customer 538,11
CUST-00539,Customer 539,7
CUST-00540,Customer 540,11
CUST-00541,Customer 541,11
CUST-00542,Customer 542,5
CUST-00543,Customer 543,5
CUST-00544,Customer 544,17
CUST-00545,Customer 545,3
CUST-00546,Customer 546,13
CUST-00547,Customer 547,11
CUST-00548,Customer 548,5
CUST-00549,Customer 549,14
CUST-00550,Customer 550,16
CUST-00551,Customer 551,6
CUST-00552,Customer 552,18
CUST-00553,Customer 553,20
CUST-00554,Customer 554,8
CUST-00555,Customer 555,6
CUST-00556,Customer 556,10
CUST-00557,Customer 557,1
CUST-00558,Customer 558,19
CUST-00559,Customer 559,19
CUST-00560,Customer 560,20
CUST-00561,Customer 561,20
CUST-00562,Customer 562,19
CUST-00563,Customer 563,16
CUST-00564,Customer 564,3
CUST-00565,Customer 565,11
CUST-00566,Customer 566,3
CUST-00567,Customer 567,11
CUST-00568,Customer 568,9
CUST-00569,Customer 569,3
CUST-00570,Customer 570,4
CUST-00571,Customer 571,2
CUST-00572,Customer 572,14
CUST-00573,Customer 573,14
CUST-00574,Customer 574,13
CUST-00575,Customer 575,13
CUST-00576,Customer 576,16
CUST-00577,Customer 577,19
CUST-00578,Customer 578,8
CUST-00579,Customer 579,3
CUST-00580,Customer 580,2
CUST-00581,Customer 581,11
CUST-00582,Customer 582,4
CUST-00583,Customer 583,6
CUST-00584,Customer 584,6
CUST-00585,Customer 585,18
CUST-00586,Customer 586,3
CUST-00587,Customer 587,20
CUST-00588,Customer 588,1
CUST-00589,Customer 589,6
CUST-00590,Customer 590,14
CUST-00591,Customer 591,4
CUST-00592,Customer 592,7
CUST-00593,Customer 593,18
CUST-00594,Customer 594,18
CUST-00595,Customer 595,10
CUST-00596,Customer 596,4
CUST-00597,Customer 597,19
CUST-00598,Customer 598,16
CUST-00599,Customer 599,12
,Customer 600,3
CUST-00601,Customer 601,20
CUST-00602,Customer 602,4
CUST-00603,Customer 603,6
CUST-00604,Customer 604,3
CUST-00605,Customer 605,4
CUST-00606,Customer 606,13
CUST-00607,Customer 607,9
CUST-00608,Customer 608,18
CUST-00609,Customer 609,12
CUST-00610,Customer 610,12
CUST-00611,Customer 611,2
CUST-00612,Customer 612,15
CUST-00613,Customer 613,9
CUST-00614,Customer 614,5
CUST-00615,Customer 615,4
CUST-00616,Customer 616,12
CUST-00617,Customer 617,14
CUST-00618,Customer 618,19
CUST-00619,Customer 619,2
CUST-00620,Customer 620,17
CUST-00621,Customer 621,18
CUST-00622,Customer 622,16
CUST-00623,Customer 623,8
CUST-00624,Customer 624,3
CUST-00625,Customer 625,2
CUST-00626,Customer 626,17
CUST-00627,Customer 627,20
CUST-00628,Customer 628,15
CUST-00629,Customer 629,6
CUST-00630,Customer 630,7
CUST-00631,Customer 631,14
CUST-00632,Customer 632,14
CUST-00633,Customer 633,5
CUST-00634,Customer 634,9
CUST-00635,Customer 635,3
CUST-00636,Customer 636,18
CUST-00637,Customer 637,11
CUST-00638,Customer 638,17
CUST-00639,Customer 639,1
CUST-00640,Customer 640,20
CUST-00641,Customer 641,14
CUST-00642,Customer 642,5
CUST-00643,Customer 643,19
CUST-00644,Customer 644,4
CUST-00645,Customer 645,19
CUST-00646,Customer 646,10
CUST-00647,Customer 647,12
CUST-00648,Customer 648,9
CUST-00649,Customer 649,16
CUST-00650,Customer 650,16
CUST-00651,Customer 651,9
CUST-00652,Customer 652,20
CUST-00653,Customer 653,13
CUST-00654,Customer 654,11
CUST-00655,Customer 655,2
CUST-00656,Customer 656,9
CUST-00657,Customer 657,1
CUST-00658,Customer 658,10
CUST-00659,Customer 659,16
CUST-00660,Customer 660,4
CUST-00661,Customer 661,8
CUST-00662,Customer 662,15
CUST-00663,Customer 663,11
CUST-00664,Customer 664,14
CUST-00665,Customer 665,3
CUST-00666,Customer 666,7
CUST-00667,Customer 667,14
CUST-00668,Customer 668,17
CUST-00669,Customer 669,2
CUST-00670,Customer 670,6
CUST-00671,Customer 671,17
CUST-00672,Customer 672,17
CUST-00673,Customer 673,1
CUST-00674,Customer 674,7
CUST-00675,Customer 675,8
CUST-00676,Customer 676,2
CUST-00677,Customer 677,7
CUST-00678,Customer 678,15
CUST-00679,Customer 679,4
CUST-00680,Customer 680,8
CUST-00681,Customer 681,20
CUST-00682,Customer 682,16
CUST-00683,Customer 683,12
CUST-00684,Customer 684,9
CUST-00685,Customer 685,3
CUST-00686,Customer 686,13
CUST-00687,Customer 687,19
CUST-00688,Customer 688,7
CUST-00689,Customer 689,8
CUST-00690,Customer 690,9
CUST-00691,Customer 691,17
CUST-00692,Customer 692,1
CUST-00693,Customer 693,5
CUST-00694,Customer 694,20
CUST-00695,Customer 695,8
CUST-00696,Customer 696,10
CUST-00697,Customer 697,9
CUST-00698,Customer 698,13
CUST-00699,Customer 699,15
CUST-00700,Customer 700,15
CUST-00701,Customer 701,17
CUST-00702,Customer 702,13
CUST-00703,Customer 703,1
CUST-00704,Customer 704,12
CUST-00705,Customer 705,20
CUST-00706,Customer 706,10
CUST-00707,Customer 707,16
CUST-00708,Customer 708,9
CUST-00709,Customer 709,9
CUST-00710,Customer 710,10
CUST-00711,Customer 711,17
CUST-00712,Customer 712,2
CUST-00713,Customer 713,20
CUST-00714,Customer 714,11
CUST-00715,Customer 715,1
CUST-00716,Customer 716,10
CUST-00717,Customer 717,14
CUST-00718,Customer 718,2
CUST-00719,Customer 719,19
CUST-00720,Customer 720,11
CUST-00721,Customer 721,8
CUST-00722,Customer 722,16
CUST-00723,Customer 723,12
CUST-00724,Customer 724,6
CUST-00725,Customer 725,18
CUST-00726,Customer 726,4
CUST-00727,Customer 727,9
CUST-00728,Customer 728,18
CUST-00729,Customer 729,6
CUST-00730,Customer 730,11
CUST-00731,Customer 731,8
CUST-00732,Customer 732,10
CUST-00733,Customer 733,11
CUST-00734,Customer 734,19
CUST-00735,Customer 735,4
CUST-00736,Customer 736,19
CUST-00737,Customer 737,20
CUST-00738,Customer 738,7
CUST-00739,Customer 739,13
CUST-00740,Customer 740,14
CUST-00741,Customer 741,5
CUST-00742,Customer 742,7
CUST-00743,Customer 743,19
CUST-00744,Customer 744,15
CUST-00745,Customer 745,6
CUST-00746,Customer 746,16
CUST-00747,Customer 747,6
CUST-00748,Customer 748,2
,Customer 749,9
CUST-00750,Customer 750,6
CUST-00751,Customer 751,6
CUST-00752,Customer 752,3
CUST-00753,Customer 753,14
CUST-00754,Customer 754,13
CUST-00755,Customer 755,16
CUST-00756,Customer 756,2
CUST-00757,Customer 757,12
CUST-00758,Customer 758,11
CUST-00759,Customer 759,17
CUST-00760,Customer 760,1
CUST-00761,Customer 761,8
CUST-00762,Customer 762,12
CUST-00763,Customer 763,4
CUST-00764,Customer 764,19
CUST-00765,Customer 765,3
CUST-00766,Customer 766,10
CUST-00767,Customer 767,15
CUST-00768,Customer 768,20
CUST-00769,Customer 769,14
CUST-00770,Customer 770,5
CUST-00771,Customer 771,16
CUST-00772,Customer 772,7
CUST-00773,Customer 773,13
,Customer 774,8
CUST-00775,Customer 775,5
CUST-00776,Customer 776,1
CUST-00777,Customer 777,6
CUST-00778,Customer 778,2
CUST-00779,Customer 779,9
CUST-00780,Customer 780,20
CUST-00781,Customer 781,2
CUST-00782,Customer 782,1
CUST-00783,Customer 783,4
CUST-00784,Customer 784,13
CUST-00785,Customer 785,9
CUST-00786,Customer 786,5
CUST-00787,Customer 787,1
CUST-00788,Customer 788,4
CUST-00789,Customer 789,9
CUST-00790,Customer 790,5
CUST-00791,Customer 791,4
CUST-00792,Customer 792,20
CUST-00793,Customer 793,4
CUST-00794,Customer 794,16
CUST-00795,Customer 795,7
CUST-00796,Customer 796,17
CUST-00797,Customer 797,12
CUST-00798,Customer 798,10
CUST-00799,Customer 799,18
CUST-00800,Customer 800,7
CUST-00801,Customer 801,16
CUST-00802,Customer 802,1
,Customer 803,3
CUST-00804,Customer 804,19
CUST-00805,Customer 805,5
CUST-00806,Customer 806,17
CUST-00807,Customer 807,4
CUST-00808,Customer 808,8
CUST-00809,Customer 809,10
CUST-00810,Customer 810,2
CUST-00811,Customer 811,6
CUST-00812,Customer 812,10
CUST-00813,Customer 813,11
CUST-00814,Customer 814,4
CUST-00815,Customer 815,2
,Customer 816,5
CUST-00817,Customer 817,6
CUST-00818,Customer 818,15
CUST-00819,Customer 819,9
CUST-00820,Customer 820,3
CUST-00821,Customer 821,11
CUST-00822,Customer 822,13
CUST-00823,Customer 823,15
CUST-00824,Customer 824,13
CUST-00825,Customer 825,16
CUST-00826,Customer 826,6
CUST-00827,Customer 827,2
CUST-00828,Customer 828,6
CUST-00829,Customer 829,19
CUST-00830,Customer 830,19
CUST-00831,Customer 831,6
CUST-00832,Customer 832,12
CUST-00833,Customer 833,5
CUST-00834,Customer 834,16
CUST-00835,Customer 835,14
CUST-00836,Customer 836,3
CUST-00837,Customer 837,11
,Customer 838,17
CUST-00839,Customer 839,19
CUST-00840,Customer 840,8
CUST-00841,Customer 841,11
CUST-00842,Customer 842,20
CUST-00843,Customer 843,8
CUST-00844,Customer 844,13
CUST-00845,Customer 845,18
CUST-00846,Customer 846,20
CUST-00847,Customer 847,6
CUST-00848,Customer 848,16
CUST-00849,Customer 849,6
CUST-00850,Customer 850,16
CUST-00851,Customer 851,11
CUST-00852,Customer 852,2
CUST-00853,Customer 853,18
CUST-00854,Customer 854,13
CUST-00855,Customer 855,3
CUST-00856,Customer 856,19
CUST-00857,Customer 857,16
CUST-00858,Customer 858,4
CUST-00859,Customer 859,1
CUST-00860,Customer 860,14
CUST-00861,Customer 861,18
,Customer 862,3
CUST-00863,Customer 863,20
CUST-00864,Customer 864,17
CUST-00865,Customer 865,15
CUST-00866,Customer 866,12
CUST-00867,Customer 867,8
CUST-00868,Customer 868,11
CUST-00869,Customer 869,20
CUST-00870,Customer 870,12
CUST-00871,Customer 871,4
CUST-00872,Customer 872,8
,Customer 873,12
CUST-00874,Customer 874,10
CUST-00875,Customer 875,12
CUST-00876,Customer 876,2
CUST-00877,Customer 877,16
CUST-00878,Customer 878,14
CUST-00879,Customer 879,20
CUST-00880,Customer 880,4
CUST-00881,Customer 881,13
CUST-00882,Customer 882,7
CUST-00883,Customer 883,4
CUST-00884,Customer 884,2
CUST-00885,Customer 885,19
CUST-00886,Customer 886,15
CUST-00887,Customer 887,19
CUST-00888,Customer 888,5
CUST-00889,Customer 889,1
CUST-00890,Customer 890,2
CUST-00891,Customer 891,14
CUST-00892,Customer 892,16
CUST-00893,Customer 893,6
CUST-00894,Customer 894,6
CUST-00895,Customer 895,5
CUST-00896,Customer 896,20
CUST-00897,Customer 897,11
CUST-00898,Customer 898,13
CUST-00899,Customer 899,20
CUST-00900,Customer 900,8
CUST-00901,Customer 901,11
CUST-00902,Customer 902,15
CUST-00903,Customer 903,5
CUST-00904,Customer 904,17
CUST-00905,Customer 905,18
CUST-00906,Customer 906,18
CUST-00907,Customer 907,7
CUST-00908,Customer 908,10
CUST-00909,Customer 909,5
CUST-00910,Customer 910,6
CUST-00911,Customer 911,11
CUST-00912,Customer 912,12
CUST-00913,Customer 913,19
CUST-00914,Customer 914,14
CUST-00915,Customer 915,18
CUST-00916,Customer 916,14
CUST-00917,Customer 917,17
CUST-00918,Customer 918,13
CUST-00919,Customer 919,2
CUST-00920,Customer 920,6
CUST-00921,Customer 921,9
CUST-00922,Customer 922,2
CUST-00923,Customer 923,10
CUST-00924,Customer 924,18
CUST-00925,Customer 925,15
CUST-00926,Customer 926,18
CUST-00927,Customer 927,18
CUST-00928,Customer 928,17
CUST-00929,Customer 929,10
CUST-00930,Customer 930,2
CUST-00931,Customer 931,13
CUST-00932,Customer 932,11
CUST-00933,Customer 933,2
,Customer 934,9
CUST-00935,Customer 935,15
CUST-00936,Customer 936,12
CUST-00937,Customer 937,18
CUST-00938,Customer 938,7
CUST-00939,Customer 939,7
